ID,Region,Region or State,Year,Land use,Value,Units,Release date,Source
7436,Northeast,New Hampshire,1974,Grazed forest-use land grazed,74,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7437,Northeast,Vermont,1974,Grazed forest-use land grazed,242,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7438,Northeast,Massachusetts,1974,Grazed forest-use land grazed,49,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7439,Northeast,Rhode Island,1974,Grazed forest-use land grazed,6,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7440,Northeast,Connecticut,1974,Grazed forest-use land grazed,46,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7441,Northeast,New York,1974,Grazed forest-use land grazed,720,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7442,Northeast,New Jersey,1974,Grazed forest-use land grazed,34,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7443,Northeast,Pennsylvania,1974,Grazed forest-use land grazed,489,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7444,Northeast,Delaware,1974,Grazed forest-use land grazed,14,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7445,Northeast,Maryland,1974,Grazed forest-use land grazed,114,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7446,Northeast,District of Columbia,1974,Grazed forest-use land grazed,0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7447,Lake States total,Lake States,1974,Grazed forest-use land grazed,3763,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7448,Lake States,Michigan,1974,Grazed forest-use land grazed,463,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7449,Lake States,Wisconsin,1974,Grazed forest-use land grazed,1844,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7450,Lake States,Minnesota,1974,Grazed forest-use land grazed,1456,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7451,Corn Belt total,Corn Belt,1974,Grazed forest-use land grazed,9938,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7452,Corn Belt,Ohio,1974,Grazed forest-use land grazed,873,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7453,Corn Belt,Indiana,1974,Grazed forest-use land grazed,762,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7454,Corn Belt,Illinois,1974,Grazed forest-use land grazed,1001,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7455,Corn Belt,Iowa,1974,Grazed forest-use land grazed,1395,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7456,Corn Belt,Missouri,1974,Grazed forest-use land grazed,5907,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7457,Northern Plains total,Northern Plains,1974,Grazed forest-use land grazed,2228,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7458,Northern Plains,North Dakota,1974,Grazed forest-use land grazed,205,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7459,Northern Plains,South Dakota,1974,Grazed forest-use land grazed,944,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7460,Northern Plains,Nebraska,1974,Grazed forest-use land grazed,620,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7461,Northern Plains,Kansas,1974,Grazed forest-use land grazed,459,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7462,Appalachian total,Appalachian,1974,Grazed forest-use land grazed,5843,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7463,Appalachian,Virginia,1974,Grazed forest-use land grazed,1021,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7464,Appalachian,West Virginia,1974,Grazed forest-use land grazed,696,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7465,Appalachian,North Carolina,1974,Grazed forest-use land grazed,1084,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7466,Appalachian,Kentucky,1974,Grazed forest-use land grazed,1400,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7467,Appalachian,Tennessee,1974,Grazed forest-use land grazed,1642,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7468,Southeast total,Southeast,1974,Grazed forest-use land grazed,12033,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7469,Southeast,South Carolina,1974,Grazed forest-use land grazed,832,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7470,Southeast,Georgia,1974,Grazed forest-use land grazed,1987,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7471,Southeast,Florida,1974,Grazed forest-use land grazed,7325,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7472,Southeast,Alabama,1974,Grazed forest-use land grazed,1889,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7473,Delta States total,Delta States,1974,Grazed forest-use land grazed,17177,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7474,Delta States,Mississippi,1974,Grazed forest-use land grazed,5619,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7475,Delta States,Arkansas,1974,Grazed forest-use land grazed,5222,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7476,Delta States,Louisiana,1974,Grazed forest-use land grazed,6336,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7477,Southern Plains total,Southern Plains,1974,Grazed forest-use land grazed,23302,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7478,Southern Plains,Oklahoma,1974,Grazed forest-use land grazed,6519,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7479,Southern Plains,Texas,1974,Grazed forest-use land grazed,16783,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7480,Mountain total,Mountain,1974,Grazed forest-use land grazed,75371,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7481,Mountain,Montana,1974,Grazed forest-use land grazed,8520,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7482,Mountain,Idaho,1974,Grazed forest-use land grazed,5253,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7483,Mountain,Wyoming,1974,Grazed forest-use land grazed,2943,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7484,Mountain,Colorado,1974,Grazed forest-use land grazed,9745,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7485,Mountain,New Mexico,1974,Grazed forest-use land grazed,14461,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7486,Mountain,Arizona,1974,Grazed forest-use land grazed,13022,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7487,Mountain,Utah,1974,Grazed forest-use land grazed,14333,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7488,Mountain,Nevada,1974,Grazed forest-use land grazed,7094,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7489,Pacific total,Pacific,1974,Grazed forest-use land grazed,27294,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7490,Pacific,Washington,1974,Grazed forest-use land grazed,3543,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7491,Pacific,Oregon,1974,Grazed forest-use land grazed,11302,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7492,Pacific,California,1974,Grazed forest-use land grazed,12449,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7493,48 States,48 States,1974,Grazed forest-use land grazed,178851,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7494,AK and HI,Alaska,1974,Grazed forest-use land grazed,108,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7495,AK and HI,Hawaii,1974,Grazed forest-use land grazed,460,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7496,U.S. total,U.S. total,1974,Grazed forest-use land grazed,179419,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7497,Northeast total,Northeast,1978,Grazed forest-use land grazed,2147,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7498,Northeast,Maine,1978,Grazed forest-use land grazed,115,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7499,Northeast,New Hampshire,1978,Grazed forest-use land grazed,73,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7500,Northeast,Vermont,1978,Grazed forest-use land grazed,385,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7501,Northeast,Massachusetts,1978,Grazed forest-use land grazed,49,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7502,Northeast,Rhode Island,1978,Grazed forest-use land grazed,6,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7503,Northeast,Connecticut,1978,Grazed forest-use land grazed,51,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7504,Northeast,New York,1978,Grazed forest-use land grazed,719,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7505,Northeast,New Jersey,1978,Grazed forest-use land grazed,35,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7506,Northeast,Pennsylvania,1978,Grazed forest-use land grazed,561,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7507,Northeast,Delaware,1978,Grazed forest-use land grazed,14,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7508,Northeast,Maryland,1978,Grazed forest-use land grazed,139,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7509,Northeast,District of Columbia,1978,Grazed forest-use land grazed,0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7510,Lake States total,Lake States,1978,Grazed forest-use land grazed,3719,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7511,Lake States,Michigan,1978,Grazed forest-use land grazed,466,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7512,Lake States,Wisconsin,1978,Grazed forest-use land grazed,1748,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7513,Lake States,Minnesota,1978,Grazed forest-use land grazed,1505,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7514,Corn Belt total,Corn Belt,1978,Grazed forest-use land grazed,7684,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7515,Corn Belt,Ohio,1978,Grazed forest-use land grazed,753,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7516,Corn Belt,Indiana,1978,Grazed forest-use land grazed,743,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7517,Corn Belt,Illinois,1978,Grazed forest-use land grazed,1199,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7518,Corn Belt,Iowa,1978,Grazed forest-use land grazed,993,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7519,Corn Belt,Missouri,1978,Grazed forest-use land grazed,3996,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7520,Northern Plains total,Northern Plains,1978,Grazed forest-use land grazed,2105,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7521,Northern Plains,North Dakota,1978,Grazed forest-use land grazed,174,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7522,Northern Plains,South Dakota,1978,Grazed forest-use land grazed,855,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7523,Northern Plains,Nebraska,1978,Grazed forest-use land grazed,617,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7524,Northern Plains,Kansas,1978,Grazed forest-use land grazed,459,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7525,Appalachian total,Appalachian,1978,Grazed forest-use land grazed,5863,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7526,Appalachian,Virginia,1978,Grazed forest-use land grazed,1109,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7527,Appalachian,West Virginia,1978,Grazed forest-use land grazed,793,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7528,Appalachian,North Carolina,1978,Grazed forest-use land grazed,893,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7529,Appalachian,Kentucky,1978,Grazed forest-use land grazed,1442,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7530,Appalachian,Tennessee,1978,Grazed forest-use land grazed,1626,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7531,Southeast total,Southeast,1978,Grazed forest-use land grazed,11165,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7532,Southeast,South Carolina,1978,Grazed forest-use land grazed,711,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7533,Southeast,Georgia,1978,Grazed forest-use land grazed,1987,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7534,Southeast,Florida,1978,Grazed forest-use land grazed,6586,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7535,Southeast,Alabama,1978,Grazed forest-use land grazed,1881,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7536,Delta States total,Delta States,1978,Grazed forest-use land grazed,17177,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7537,Delta States,Mississippi,1978,Grazed forest-use land grazed,5619,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7538,Delta States,Arkansas,1978,Grazed forest-use land grazed,5222,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7539,Delta States,Louisiana,1978,Grazed forest-use land grazed,6336,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7540,Southern Plains total,Southern Plains,1978,Grazed forest-use land grazed,20765,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7541,Southern Plains,Oklahoma,1978,Grazed forest-use land grazed,6519,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7542,Southern Plains,Texas,1978,Grazed forest-use land grazed,14246,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7543,Mountain total,Mountain,1978,Grazed forest-use land grazed,71701,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7544,Mountain,Montana,1978,Grazed forest-use land grazed,7433,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7545,Mountain,Idaho,1978,Grazed forest-use land grazed,5179,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7546,Mountain,Wyoming,1978,Grazed forest-use land grazed,3846,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7547,Mountain,Colorado,1978,Grazed forest-use land grazed,12745,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7548,Mountain,New Mexico,1978,Grazed forest-use land grazed,11044,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7549,Mountain,Arizona,1978,Grazed forest-use land grazed,13812,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7550,Mountain,Utah,1978,Grazed forest-use land grazed,11295,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7551,Mountain,Nevada,1978,Grazed forest-use land grazed,6347,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7552,Pacific total,Pacific,1978,Grazed forest-use land grazed,28919,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7553,Pacific,Washington,1978,Grazed forest-use land grazed,3598,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7554,Pacific,Oregon,1978,Grazed forest-use land grazed,11921,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7555,Pacific,California,1978,Grazed forest-use land grazed,13400,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7556,48 States,48 States,1978,Grazed forest-use land grazed,171245,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7557,AK and HI,Alaska,1978,Grazed forest-use land grazed,66,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7558,AK and HI,Hawaii,1978,Grazed forest-use land grazed,460,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7559,U.S. total,U.S. total,1978,Grazed forest-use land grazed,171771,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7560,Northeast total,Northeast,1982,Grazed forest-use land grazed,1700,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7561,Northeast,Maine,1982,Grazed forest-use land grazed,95,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7562,Northeast,New Hampshire,1982,Grazed forest-use land grazed,45,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7563,Northeast,Vermont,1982,Grazed forest-use land grazed,280,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7564,Northeast,Massachusetts,1982,Grazed forest-use land grazed,45,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7565,Northeast,Rhode Island,1982,Grazed forest-use land grazed,5,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7566,Northeast,Connecticut,1982,Grazed forest-use land grazed,40,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7567,Northeast,New York,1982,Grazed forest-use land grazed,600,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7568,Northeast,New Jersey,1982,Grazed forest-use land grazed,20,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7569,Northeast,Pennsylvania,1982,Grazed forest-use land grazed,460,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7570,Northeast,Delaware,1982,Grazed forest-use land grazed,10,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7571,Northeast,Maryland,1982,Grazed forest-use land grazed,100,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7572,Northeast,District of Columbia,1982,Grazed forest-use land grazed,0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7573,Lake States total,Lake States,1982,Grazed forest-use land grazed,3200,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7574,Lake States,Michigan,1982,Grazed forest-use land grazed,400,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7575,Lake States,Wisconsin,1982,Grazed forest-use land grazed,1500,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7576,Lake States,Minnesota,1982,Grazed forest-use land grazed,1300,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7577,Corn Belt total,Corn Belt,1982,Grazed forest-use land grazed,6700,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7578,Corn Belt,Ohio,1982,Grazed forest-use land grazed,650,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7579,Corn Belt,Indiana,1982,Grazed forest-use land grazed,600,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7580,Corn Belt,Illinois,1982,Grazed forest-use land grazed,950,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7581,Corn Belt,Iowa,1982,Grazed forest-use land grazed,1100,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7582,Corn Belt,Missouri,1982,Grazed forest-use land grazed,3400,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7583,Northern Plains total,Northern Plains,1982,Grazed forest-use land grazed,2000,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7584,Northern Plains,North Dakota,1982,Grazed forest-use land grazed,350,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7585,Northern Plains,South Dakota,1982,Grazed forest-use land grazed,750,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7586,Northern Plains,Nebraska,1982,Grazed forest-use land grazed,500,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7587,Northern Plains,Kansas,1982,Grazed forest-use land grazed,400,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7588,Appalachian total,Appalachian,1982,Grazed forest-use land grazed,5200,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7589,Appalachian,Virginia,1982,Grazed forest-use land grazed,1050,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7590,Appalachian,West Virginia,1982,Grazed forest-use land grazed,800,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7591,Appalachian,North Carolina,1982,Grazed forest-use land grazed,700,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7592,Appalachian,Kentucky,1982,Grazed forest-use land grazed,1250,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7593,Appalachian,Tennessee,1982,Grazed forest-use land grazed,1400,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7594,Southeast total,Southeast,1982,Grazed forest-use land grazed,9950,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7595,Southeast,South Carolina,1982,Grazed forest-use land grazed,550,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7596,Southeast,Georgia,1982,Grazed forest-use land grazed,1400,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7597,Southeast,Florida,1982,Grazed forest-use land grazed,6300,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7598,Southeast,Alabama,1982,Grazed forest-use land grazed,1700,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7599,Delta States total,Delta States,1982,Grazed forest-use land grazed,16800,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7600,Delta States,Mississippi,1982,Grazed forest-use land grazed,5500,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7601,Delta States,Arkansas,1982,Grazed forest-use land grazed,5100,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7602,Delta States,Louisiana,1982,Grazed forest-use land grazed,6200,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7603,Southern Plains total,Southern Plains,1982,Grazed forest-use land grazed,12800,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7604,Southern Plains,Oklahoma,1982,Grazed forest-use land grazed,5900,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7605,Southern Plains,Texas,1982,Grazed forest-use land grazed,6900,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7606,Mountain total,Mountain,1982,Grazed forest-use land grazed,69600,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7607,Mountain,Montana,1982,Grazed forest-use land grazed,7200,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7608,Mountain,Idaho,1982,Grazed forest-use land grazed,5000,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7609,Mountain,Wyoming,1982,Grazed forest-use land grazed,3700,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7610,Mountain,Colorado,1982,Grazed forest-use land grazed,12200,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7611,Mountain,New Mexico,1982,Grazed forest-use land grazed,10900,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7612,Mountain,Arizona,1982,Grazed forest-use land grazed,13400,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7613,Mountain,Utah,1982,Grazed forest-use land grazed,11000,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7614,Mountain,Nevada,1982,Grazed forest-use land grazed,6200,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7615,Pacific total,Pacific,1982,Grazed forest-use land grazed,29550,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7616,Pacific,Washington,1982,Grazed forest-use land grazed,3900,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7617,Pacific,Oregon,1982,Grazed forest-use land grazed,12650,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7618,Pacific,California,1982,Grazed forest-use land grazed,13000,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7619,48 States,48 States,1982,Grazed forest-use land grazed,157500,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7620,AK and HI,Alaska,1982,Grazed forest-use land grazed,60,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7621,AK and HI,Hawaii,1982,Grazed forest-use land grazed,440,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7622,U.S. total,U.S. total,1982,Grazed forest-use land grazed,158000,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7623,Northeast total,Northeast,1987,Grazed forest-use land grazed,1668,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7624,Northeast,Maine,1987,Grazed forest-use land grazed,91,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7625,Northeast,New Hampshire,1987,Grazed forest-use land grazed,45,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7626,Northeast,Vermont,1987,Grazed forest-use land grazed,276,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7627,Northeast,Massachusetts,1987,Grazed forest-use land grazed,44,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7628,Northeast,Rhode Island,1987,Grazed forest-use land grazed,5,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7629,Northeast,Connecticut,1987,Grazed forest-use land grazed,39,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7630,Northeast,New York,1987,Grazed forest-use land grazed,592,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7631,Northeast,New Jersey,1987,Grazed forest-use land grazed,19,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
7632,Northeast,Pennsylvania,1987,Grazed forest-use land grazed,448,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses."
