ID,Region,Region or State,Year,Land use,Value,Units,Release date,Source,Price per Acre (TND),Total Land (m²),Price (TND),Price per m² (TND),State_encoded,Land_use_encoded
9598,North,Sidi Bouzid,1982,All special uses of land,1737.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,7029395.82,8685000.0,2004.2439208461687,30,0
9599,Center,Beja,1982,All special uses of land,6692.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,27081587.12,33460000.0,2005.9196397766705,42,0
9600,Center,Tataouine,1982,All special uses of land,1817.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,7353144.62,9085000.0,2047.29807988074,40,0
9601,North,Ben Arous,1982,All special uses of land,1597.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,6462835.42,7985000.0,1905.8468028449288,50,0
9602,South,Medenine,1982,All special uses of land,1533.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,6203836.38,7665000.0,2016.0245737442272,33,0
9603,North,Kairouan,1982,All special uses of land,1745.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,7061770.7,8725000.0,1963.0833644115696,20,0
9604,South,Gabes,1982,All special uses of land,7094.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,28708424.84,35470000.0,2077.421158494251,3,0
9605,Center,Beja,1982,All special uses of land,1327.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5370183.22,6635000.0,2114.7562134776563,58,0
9606,Center,Kef,1982,All special uses of land,665.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,2691161.9,3325000.0,2315.472267908232,60,0
9607,Center,Manouba,1982,All special uses of land,1937.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,7838767.82,9685000.0,2219.358118491117,39,0
9608,North,Bizerte,1982,All special uses of land,970.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,3925454.2,4850000.0,1915.9581968227797,21,0
9609,North,Medenine,1982,All special uses of land,2195.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,8882857.700000001,10975000.0,2205.0071642379085,53,0
9610,North,Ben Arous,1982,All special uses of land,8503.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,34410450.58,42515000.0,1985.8503201141236,51,0
9611,North,Tozeur,1982,All special uses of land,1164.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,4710545.04,5820000.0,2129.082659117508,49,0
9612,Center,Tunis,1982,All special uses of land,1869.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,7563581.34,9345000.0,1973.2570093342863,14,0
9613,North,Sidi Bouzid,1982,All special uses of land,4021.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,16272424.06,20105000.0,2446.70817404905,13,0
9614,South,Bizerte,1982,All special uses of land,1449.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5863900.140000001,7245000.0,1993.005119243473,1,0
9615,South,Kasserine,1982,All special uses of land,3470.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,14042604.2,17350000.0,1848.4412968787944,11,0
9616,South,Monastir,1982,All special uses of land,850.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,3439831.0,4250000.0,1978.818081325918,29,0
9617,North,Ariana,1982,All special uses of land,1298.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5252824.28,6490000.0,2152.0761635556246,5,0
9618,North,Ben Arous,1982,All special uses of land,1322.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5349948.92,6610000.0,2135.687268490065,23,0
9619,South,Beja,1982,All special uses of land,6083.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,24617049.38,30415000.0,1944.479763189657,52,0
9620,South,Siliana,1982,All special uses of land,1410.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5706072.600000001,7050000.0,1973.114213471271,44,0
9621,Center,Kairouan,1982,All special uses of land,4673.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,18910976.78,23365000.0,2450.0,54,0
9622,South,Nabeul,1982,All special uses of land,48302.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,195471431.72,241510000.0,1860.1983742853652,32,0
9623,North,Bizerte,1982,All special uses of land,5966.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,24143566.76,29830000.0,1999.959177606679,31,0
9624,North,Nabeul,1982,All special uses of land,5167.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,20910125.62,25835000.0,1907.684411231994,16,0
9625,South,Manouba,1982,All special uses of land,5768.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,23342288.48,28840000.0,1984.9610780439543,62,0
9626,North,Kef,1982,All special uses of land,4643.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,18789570.98,23215000.0,1826.8768569568683,7,0
9627,North,Sidi Bouzid,1982,All special uses of land,5279.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,21363373.94,26395000.0,1982.59148470316,37,0
9628,South,Gafsa,1982,All special uses of land,9063.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,36676692.18,45315000.0,1927.8743467869328,4,0
9629,North,Kebili,1982,All special uses of land,4901.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,19833660.86,24505000.0,2000.405781237016,56,0
9630,North,Ariana,1982,All special uses of land,7515.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,30412152.9,37575000.0,1814.5711766390675,34,0
9631,South,Tozeur,1982,All special uses of land,21890.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,88585765.4,109450000.0,2115.987200401893,46,0
9632,North,Sousse,1982,All special uses of land,5356.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,21674982.16,26780000.0,1884.8777577451624,59,0
9633,Center,Manouba,1982,All special uses of land,2707.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,10954850.02,13535000.0,2027.2225535686136,45,0
9634,South,Sousse,1982,All special uses of land,13827.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,55955933.22,69135000.0,2450.0,6,0
9635,South,Medenine,1982,All special uses of land,127279.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,515080293.94,636395000.0,2109.2546842789125,0,0
9636,South,Kef,1982,All special uses of land,141534.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,572768283.24,707670000.0,2095.539977353128,2,0
9637,North,Tozeur,1982,All special uses of land,926.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,3747392.36,4630000.0,2001.4015756956376,15,0
9638,North,Tataouine,1982,All special uses of land,269739.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,1091595969.54,1348695000.0,2162.862350961268,55,0
9639,South,Kef,1987,All special uses of land,9827.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5500.0,39768493.22,54048500.0,2450.0,41,0
9640,Center,Siliana,1987,All special uses of land,429.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4000.0,1736102.94,1716000.0,2450.0,24,0
9641,South,Ben Arous,1987,All special uses of land,263.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,1064324.18,1315000.0,2450.0,35,0
9642,South,Gabes,1987,All special uses of land,422.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4500.0,1707774.9200000002,1899000.0,2426.253379081885,57,0
9643,North,Tunis,1987,All special uses of land,557.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7000.0,2254101.02,3899000.0,2450.0,26,0
9644,North,Gafsa,1987,All special uses of land,59.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7500.0,238764.74,442500.0,2450.0,48,0
9645,South,Kairouan,1987,All special uses of land,311.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6800.0,1258573.46,2114800.0,2450.0,8,0
9646,North,Manouba,1987,All special uses of land,3898.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",10000.0,15774660.28,38980000.0,2450.0,38,0
9647,North,Beja,1987,All special uses of land,712.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",12000.0,2881364.3200000003,8544000.0,2450.0,36,0
9648,South,Kasserine,1987,All special uses of land,2409.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6500.0,9748885.74,15658500.0,2450.0,47,0
9649,South,Bizerte,1987,All special uses of land,113.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,457295.18,565000.0,2417.3937077890982,10,0
9650,South,Kasserine,1987,All special uses of land,654.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,2646646.44,3270000.0,2450.0,25,0
9652,Center,Kebili,1987,All special uses of land,12203.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,49383832.58,61015000.0,2450.0,22,0
9653,North,Bizerte,1987,All special uses of land,2488.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,10068587.68,12440000.0,2450.0,27,0
9654,Center,Manouba,1987,All special uses of land,2150.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,8700749.0,10750000.0,2450.0,61,0
9655,North,Jendouba,1987,All special uses of land,7565.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,30614495.9,37825000.0,2450.0,28,0
9656,Center,Beja,1987,All special uses of land,7338.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,29695858.68,36690000.0,2377.482575283192,9,0
9657,North,Sfax,1987,All special uses of land,1184.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,4791482.24,5920000.0,2444.8969430799866,43,0
9658,North,Gafsa,1987,All special uses of land,966.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,3909266.76,4830000.0,2379.843734127581,18,0
9659,Center,Ariana,1987,All special uses of land,1881.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,7612143.66,9405000.0,2450.0,17,0
9660,Center,Tataouine,1987,All special uses of land,1564.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,6329289.04,7820000.0,2450.0,19,0
9661,Center,Bizerte,1987,All special uses of land,1743.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,7053676.98,8715000.0,2450.0,30,0
9662,South,Tataouine,1987,All special uses of land,6339.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,25653045.54,31695000.0,2450.0,42,0
9663,Center,Ben Arous,1987,All special uses of land,1601.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,6479022.86,8005000.0,2450.0,40,0
9664,North,Kebili,1987,All special uses of land,1521.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,6155274.0600000005,7605000.0,2307.956007316888,50,0
9665,North,Tunis,1987,All special uses of land,1514.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,6126946.04,7570000.0,2241.0902928601863,33,0
9666,South,Sidi Bouzid,1987,All special uses of land,1703.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,6891802.58,8515000.0,2432.935633127849,20,0
9667,South,Siliana,1987,All special uses of land,7410.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,29987232.6,37050000.0,2450.0,3,0
9668,South,Mahdia,1987,All special uses of land,1449.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5863900.140000001,7245000.0,2450.0,58,0
9669,Center,Nabeul,1987,All special uses of land,683.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,2764005.38,3415000.0,2450.0,60,0
9670,North,Sidi Bouzid,1987,All special uses of land,2118.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,8571249.48,10590000.0,2450.0,39,0
9671,Center,Sidi Bouzid,1987,All special uses of land,1006.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,4071141.16,5030000.0,2450.0,21,0
9672,North,Bizerte,1987,All special uses of land,2154.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,8716936.44,10770000.0,2450.0,53,0
9673,Center,Kebili,1987,All special uses of land,8630.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,34924401.800000004,43150000.0,2450.0,51,0
9674,Center,Tozeur,1987,All special uses of land,1124.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,4548670.640000001,5620000.0,2450.0,49,0
9675,Center,Sousse,1987,All special uses of land,1625.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,6576147.5,8125000.0,2292.513876299956,14,0
9676,North,Siliana,1987,All special uses of land,4505.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,18231104.3,22525000.0,2450.0,13,0
9677,North,Kebili,1987,All special uses of land,1376.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5568479.36,6880000.0,2450.0,1,0
9678,South,Tataouine,1987,All special uses of land,3566.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,14431102.76,17830000.0,2450.0,11,0
9679,Center,Medenine,1987,All special uses of land,880.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,3561236.8000000003,4400000.0,2450.0,29,0
9680,South,Manouba,1987,All special uses of land,1368.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5536104.48,6840000.0,2450.0,5,0
9681,Center,Beja,1987,All special uses of land,1318.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5333761.48,6590000.0,2450.0,23,0
9682,South,Ben Arous,1987,All special uses of land,6011.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,24325675.46,30055000.0,2431.1485152898595,52,0
9683,Center,Siliana,1987,All special uses of land,1330.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5382323.8,6650000.0,2450.0,44,0
9684,South,Sidi Bouzid,1987,All special uses of land,4681.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,18943351.66,23405000.0,2450.0,54,0
9685,Center,Kef,1987,All special uses of land,48975.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,198194968.5,244875000.0,2450.0,32,0
9686,North,Manouba,1987,All special uses of land,6145.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,24867954.7,30725000.0,2450.0,31,0
9687,South,Tunis,1987,All special uses of land,5278.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,21359327.08,26390000.0,2450.0,16,0
9688,North,Gafsa,1987,All special uses of land,6293.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,25466889.98,31465000.0,2450.0,62,0
9689,Center,Siliana,1987,All special uses of land,4795.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,19404693.7,23975000.0,2450.0,7,0
9690,Center,Kasserine,1987,All special uses of land,3647.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,14758898.42,18235000.0,2450.0,37,0
9691,North,Mahdia,1987,All special uses of land,9849.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,39857524.14,49245000.0,2450.0,4,0
9692,Center,Siliana,1987,All special uses of land,5451.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,22059433.86,27255000.0,2450.0,56,0
9693,Center,Tozeur,1987,All special uses of land,7517.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,30420246.62,37585000.0,2450.0,34,0
9694,North,Ariana,1987,All special uses of land,24974.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,101066281.64,124870000.0,2287.518087911013,46,0
9695,South,Zaghouan,1987,All special uses of land,6637.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,26859009.82,33185000.0,2450.0,59,0
9696,South,Zaghouan,1987,All special uses of land,3568.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,14439196.48,17840000.0,2450.0,45,0
9697,North,Siliana,1987,All special uses of land,14769.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,59768075.34,73845000.0,2450.0,6,0
9698,South,Nabeul,1987,All special uses of land,135273.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,547430892.78,676365000.0,2450.0,0,0
9699,South,Gafsa,1987,All special uses of land,142520.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,576758487.2,712600000.0,2405.1782135713743,2,0
9700,Center,Ariana,1987,All special uses of land,806.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,3261769.16,4030000.0,2450.0,15,0
9701,North,Sousse,1987,All special uses of land,278599.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,1127451149.14,1392995000.0,2450.0,55,0
9702,Center,Bizerte,1992,All special uses of land,9549.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5500.0,38643466.14,52519500.0,2450.0,41,0
9703,Center,Nabeul,1992,All special uses of land,453.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4000.0,1833227.58,1812000.0,2450.0,24,0
9704,North,Kebili,1992,All special uses of land,266.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,1076464.76,1330000.0,2450.0,35,0
9705,Center,Tunis,1992,All special uses of land,338.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",4500.0,1367838.68,1521000.0,2450.0,57,0
9706,Center,Bizerte,1992,All special uses of land,559.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7000.0,2262194.74,3913000.0,2450.0,26,0
9707,Center,Beja,1992,All special uses of land,59.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",7500.0,238764.74,442500.0,2450.0,48,0
9708,North,Mahdia,1992,All special uses of land,294.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6800.0,1189776.84,1999200.0,2450.0,8,0
9709,Center,Sousse,1992,All special uses of land,3749.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",10000.0,15171678.14,37490000.0,2450.0,38,0
9710,Center,Sidi Bouzid,1992,All special uses of land,715.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",12000.0,2893504.9,8580000.0,2450.0,36,0
9711,South,Kef,1992,All special uses of land,2356.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",6500.0,9534402.16,15314000.0,2450.0,47,0
9712,South,Zaghouan,1992,All special uses of land,102.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,412779.72,510000.0,2450.0,10,0
9713,Center,Ben Arous,1992,All special uses of land,658.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,2662833.88,3290000.0,2450.0,25,0
9715,South,Kairouan,1992,All special uses of land,9024.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,36518864.64,45120000.0,2450.0,22,0
9716,Center,Ben Arous,1992,All special uses of land,2470.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,9995744.2,12350000.0,2450.0,27,0
9717,South,Monastir,1992,All special uses of land,2242.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,9073060.12,11210000.0,2450.0,61,0
9718,South,Sidi Bouzid,1992,All special uses of land,4313.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,17454107.18,21565000.0,2450.0,28,0
9719,South,Kef,1992,All special uses of land,7264.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,29396391.04,36320000.0,2450.0,9,0
9720,North,Nabeul,1992,All special uses of land,1161.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,4698404.46,5805000.0,2450.0,43,0
9721,South,Beja,1992,All special uses of land,897.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,3630033.42,4485000.0,2450.0,18,0
9722,Center,Gafsa,1992,All special uses of land,1918.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,7761877.48,9590000.0,2450.0,17,0
9723,North,Bizerte,1992,All special uses of land,1566.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,6337382.76,7830000.0,2450.0,19,0
9724,Center,Monastir,1992,All special uses of land,1721.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,6964646.0600000005,8605000.0,2450.0,30,0
9725,Center,Ariana,1992,All special uses of land,6330.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,25616623.8,31650000.0,2450.0,42,0
9726,South,Monastir,1992,All special uses of land,1603.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,6487116.58,8015000.0,2450.0,40,0
9727,South,Medenine,1992,All special uses of land,1602.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,6483069.72,8010000.0,2450.0,50,0
9728,Center,Mahdia,1992,All special uses of land,1480.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5989352.8,7400000.0,2450.0,33,0
9729,Center,Monastir,1992,All special uses of land,1644.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,6653037.84,8220000.0,2450.0,20,0
9730,Center,Manouba,1992,All special uses of land,7622.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,30845166.92,38110000.0,2450.0,3,0
9731,South,Kef,1992,All special uses of land,1441.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5831525.26,7205000.0,2450.0,58,0
9732,North,Beja,1992,All special uses of land,679.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,2747817.94,3395000.0,2450.0,60,0
9733,North,Zaghouan,1992,All special uses of land,2270.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,9186372.2,11350000.0,2450.0,39,0
9734,North,Siliana,1992,All special uses of land,998.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,4038766.28,4990000.0,2450.0,21,0
9735,North,Kairouan,1992,All special uses of land,2233.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,9036638.38,11165000.0,2450.0,53,0
9736,Center,Jendouba,1992,All special uses of land,9244.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,37409173.84,46220000.0,2450.0,51,0
9737,Center,Tozeur,1992,All special uses of land,1059.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,4285624.74,5295000.0,2450.0,49,0
9738,Center,Sfax,1992,All special uses of land,1874.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,7583815.640000001,9370000.0,2450.0,14,0
9739,Center,Ariana,1992,All special uses of land,4940.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,19991488.4,24700000.0,2450.0,13,0
9740,South,Tataouine,1992,All special uses of land,1372.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5552291.92,6860000.0,2450.0,1,0
9741,North,Kebili,1992,All special uses of land,3710.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,15013850.6,18550000.0,2450.0,11,0
9742,Center,Bizerte,1992,All special uses of land,870.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,3520768.2,4350000.0,2450.0,29,0
9743,South,Manouba,1992,All special uses of land,1418.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5738447.48,7090000.0,2450.0,5,0
9744,North,Gabes,1992,All special uses of land,1422.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5754634.92,7110000.0,2450.0,23,0
9745,North,Tataouine,1992,All special uses of land,6425.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,26001075.5,32125000.0,2450.0,52,0
9746,Center,Ariana,1992,All special uses of land,1396.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,5649416.5600000005,6980000.0,2450.0,44,0
9747,South,Ariana,1992,All special uses of land,5029.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,20351658.94,25145000.0,2450.0,54,0
9748,South,Jendouba,1992,All special uses of land,53937.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,218275487.82,269685000.0,2450.0,32,0
9749,North,Nabeul,1992,All special uses of land,6090.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,24645377.4,30450000.0,2450.0,31,0
9750,North,Sfax,1992,All special uses of land,5227.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,21152937.22,26135000.0,2450.0,16,0
9751,South,Monastir,1992,All special uses of land,6296.0,"1,000 acres","September 13, 2024.","USDA, Economic Research Service, Major Land Uses.",5000.0,25479030.56,31480000.0,2450.0,62,0
